,corr,names,name,corrnames
2106,"1532,3066,784,2082,2539","Sprung (1997);;Tora! Tora! Tora! (1970);;Cable Guy, The (1996);;Mighty Ducks, The (1992);;Analyze This (1999)",Swing Kids (1993),"Sprung (1997);;Tora! Tora! Tora! (1970);;Cable Guy, The (1996);;Mighty Ducks, The (1992);;Analyze This (1999)"
2107,"2100,2122,1228,1591,3433",Splash (1984);;Children of the Corn (1984);;Raging Bull (1980);;Spawn (1997);;Death Wish 4: The Crackdown (1987),Halloween: H20 (1998),Splash (1984);;Children of the Corn (1984);;Raging Bull (1980);;Spawn (1997);;Death Wish 4: The Crackdown (1987)
2108,"481,2815,3340,346,3096",Kalifornia (1993);;Iron Eagle (1986);;Bride of the Monster (1956);;Backbeat (1993);;My Man Godfrey (1957),L.A. Story (1991),Kalifornia (1993);;Iron Eagle (1986);;Bride of the Monster (1956);;Backbeat (1993);;My Man Godfrey (1957)
2109,"3483,1089,1509,1033,2796","Road to El Dorado, The (2000);;Reservoir Dogs (1992);;All Over Me (1997);;Fox and the Hound, The (1981);;Funny Farm (1988)","Jerk, The (1979)","Road to El Dorado, The (2000);;Reservoir Dogs (1992);;All Over Me (1997);;Fox and the Hound, The (1981);;Funny Farm (1988)"
2110,"1909,3538,2043,2241,970","X-Files: Fight the Future, The (1998);;East is East (1999);;Darby O'Gill and the Little People (1959);;Class (1983);;Beat the Devil (1954)",Dead Men Don't Wear Plaid (1982),"X-Files: Fight the Future, The (1998);;East is East (1999);;Darby O'Gill and the Little People (1959);;Class (1983);;Beat the Devil (1954)"
2111,"1908,2043,2512,2707,2153","Resurrection Man (1998);;Darby O'Gill and the Little People (1959);;Ballad of Narayama, The (Narayama Bushiko) (1982);;Arlington Road (1999);;Avengers, The (1998)","Man with Two Brains, The (1983)","Resurrection Man (1998);;Darby O'Gill and the Little People (1959);;Ballad of Narayama, The (Narayama Bushiko) (1982);;Arlington Road (1999);;Avengers, The (1998)"
2112,"3096,2854,1286,218,3160",My Man Godfrey (1957);;Don't Look in the Basement! (1973);;Somewhere in Time (1980);;Boys on the Side (1995);;Magnolia (1999),Grand Canyon (1991),My Man Godfrey (1957);;Don't Look in the Basement! (1973);;Somewhere in Time (1980);;Boys on the Side (1995);;Magnolia (1999)
2113,"2249,1583,1210,2750,1213","My Blue Heaven (1990);;Simple Wish, A (1997);;Star Wars: Episode VI - Return of the Jedi (1983);;Radio Days (1987);;GoodFellas (1990)",Graveyard Shift (1990),"My Blue Heaven (1990);;Simple Wish, A (1997);;Star Wars: Episode VI - Return of the Jedi (1983);;Radio Days (1987);;GoodFellas (1990)"
2114,"3213,1644,2027,1942,2155","Batman: Mask of the Phantasm (1993);;I Know What You Did Last Summer (1997);;Mafia! (1998);;All the King's Men (1949);;Slums of Beverly Hills, The (1998)","Outsiders, The (1983)","Batman: Mask of the Phantasm (1993);;I Know What You Did Last Summer (1997);;Mafia! (1998);;All the King's Men (1949);;Slums of Beverly Hills, The (1998)"
2115,"1183,2190,574,2189,1092","English Patient, The (1996);;Why Do Fools Fall In Love? (1998);;Spanking the Monkey (1994);;I Married A Strange Person (1997);;Basic Instinct (1992)",Indiana Jones and the Temple of Doom (1984),"English Patient, The (1996);;Why Do Fools Fall In Love? (1998);;Spanking the Monkey (1994);;I Married A Strange Person (1997);;Basic Instinct (1992)"
2116,"1820,590,1941,1991,1903","Proposition, The (1998);;Dances with Wolves (1990);;Hamlet (1948);;Child's Play (1988);;Hav Plenty (1997)","Lord of the Rings, The (1978)","Proposition, The (1998);;Dances with Wolves (1990);;Hamlet (1948);;Child's Play (1988);;Hav Plenty (1997)"
2117,"2788,1193,1808,1809,2432",And Now for Something Completely Different (1971);;One Flew Over the Cuckoo's Nest (1975);;Hana-bi (1997);;Stepmom (1998),Nineteen Eighty-Four (1984),And Now for Something Completely Different (1971);;One Flew Over the Cuckoo's Nest (1975);;Hana-bi (1997);;Stepmom (1998)
2118,"1236,1231,1781,2775,3209","Trust (1990);;Right Stuff, The (1983);;Further Gesture, A (1996);;Head On (1998);;Loves of Carmen, The (1948)","Dead Zone, The (1983)","Trust (1990);;Right Stuff, The (1983);;Further Gesture, A (1996);;Head On (1998);;Loves of Carmen, The (1948)"
2119,"1794,1920,2249,1783,2425","Love and Death on Long Island (1997);;Small Soldiers (1998);;My Blue Heaven (1990);;Palmetto (1998);;General, The (1998)",Maximum Overdrive (1986),"Love and Death on Long Island (1997);;Small Soldiers (1998);;My Blue Heaven (1990);;Palmetto (1998);;General, The (1998)"
2120,"3432,698,2064,2340,2235",Death Wish 3 (1985);;Delta of Venus (1994);;Roger & Me (1989);;Meet Joe Black (1998);;One Man's Hero (1999),Needful Things (1993),Death Wish 3 (1985);;Delta of Venus (1994);;Roger & Me (1989);;Meet Joe Black (1998);;One Man's Hero (1999)
2121,"1774,1920,3432,2295,1773","Mass Transit (1998);;Small Soldiers (1998);;Death Wish 3 (1985);;Impostors, The (1998);;Tokyo Fist (1995)",Cujo (1983),"Mass Transit (1998);;Small Soldiers (1998);;Death Wish 3 (1985);;Impostors, The (1998);;Tokyo Fist (1995)"
2122,"1917,1786,2642,1794,2425","Armageddon (1998);;Superman III (1983);;Love and Death on Long Island (1997);;General, The (1998)",Children of the Corn (1984),"Armageddon (1998);;Superman III (1983);;Love and Death on Long Island (1997);;General, The (1998)"
2123,"1890,3136,332,233,1940","Little Boy Blue (1997);;James Dean Story, The (1957);;Village of the Damned (1995);;Exotica (1994);;Gentleman's Agreement (1947)",All Dogs Go to Heaven (1989),"Little Boy Blue (1997);;James Dean Story, The (1957);;Village of the Damned (1995);;Exotica (1994);;Gentleman's Agreement (1947)"
2124,"394,242,1305,1850,1545","Coldblooded (1995);;Farinelli: il castrato (1994);;Paris, Texas (1984);;I Love You, Don't Touch Me! (1998);;Ponette (1996)","Addams Family, The (1991)","Coldblooded (1995);;Farinelli: il castrato (1994);;Paris, Texas (1984);;I Love You, Don't Touch Me! (1998);;Ponette (1996)"
2125,"350,255,328,230,963","Client, The (1994);;Jerky Boys, The (1994);;Tales From the Crypt Presents: Demon Knight (1995);;Dolores Claiborne (1994);;Inspector General, The (1949)",Ever After: A Cinderella Story (1998),"Client, The (1994);;Jerky Boys, The (1994);;Tales From the Crypt Presents: Demon Knight (1995);;Dolores Claiborne (1994);;Inspector General, The (1949)"
2126,"2288,1450,3289,1380,743","Thing, The (1982);;Prisoner of the Mountains (Kavkazsky Plennik) (1996);;Not One Less (Yi ge dou bu neng shao) (1999);;Grease (1978);;Spy Hard (1996)",Snake Eyes (1998),"Thing, The (1982);;Prisoner of the Mountains (Kavkazsky Plennik) (1996);;Not One Less (Yi ge dou bu neng shao) (1999);;Grease (1978);;Spy Hard (1996)"
2127,"1045,2806,1375,3573,1087",Love Is All There Is (1996);;Teaching Mrs. Tingle (1999);;Star Trek III: The Search for Spock (1984);;Carnosaur 2 (1995);;Madame Butterfly (1995),"First Love, Last Rites (1997)",Love Is All There Is (1996);;Teaching Mrs. Tingle (1999);;Star Trek III: The Search for Spock (1984);;Carnosaur 2 (1995);;Madame Butterfly (1995)
2128,"1699,173,1577,2628,2354","Butcher Boy, The (1998);;Judge Dredd (1995);;Mondo (1996);;Star Wars: Episode I - The Phantom Menace (1999);;Rugrats Movie, The (1998)",Safe Men (1998),"Butcher Boy, The (1998);;Judge Dredd (1995);;Mondo (1996);;Star Wars: Episode I - The Phantom Menace (1999);;Rugrats Movie, The (1998)"
2129,"529,50,1151,1990,712","Searching for Bobby Fischer (1993);;Usual Suspects, The (1995);;Faust (1994);;Prom Night IV: Deliver Us From Evil (1992);;Captives (1994)","Saltmen of Tibet, The (1997)","Searching for Bobby Fischer (1993);;Usual Suspects, The (1995);;Faust (1994);;Prom Night IV: Deliver Us From Evil (1992);;Captives (1994)"
2130,"2746,3458,2950,2694,2853","Little Shop of Horrors (1986);;Blood and Sand (Sangre y Arena) (1989);;Blue Lagoon, The (1980);;Big Daddy (1999);;Communion (a.k.a. Alice, Sweet Alice/Holy Terror) (1977)",Atlantic City (1980),"Little Shop of Horrors (1986);;Blood and Sand (Sangre y Arena) (1989);;Blue Lagoon, The (1980);;Big Daddy (1999);;Communion (a.k.a. Alice, Sweet Alice/Holy Terror) (1977)"
2131,"3535,1393,600,3455,2961","American Psycho (2000);;Jerry Maguire (1996);;Love and a .45 (1994);;Buddy Boy (1999);;Story of Us, The (1999)",Autumn Sonata (Höstsonaten ) (1978),"American Psycho (2000);;Jerry Maguire (1996);;Love and a .45 (1994);;Buddy Boy (1999);;Story of Us, The (1999)"
2132,"1017,896,2906,2768,2383",Swiss Family Robinson (1960);;Wild Reeds (1994);;Random Hearts (1999);;Stiff Upper Lips (1998);;Police Academy 6: City Under Siege (1989),Who's Afraid of Virginia Woolf? (1966),Swiss Family Robinson (1960);;Wild Reeds (1994);;Random Hearts (1999);;Stiff Upper Lips (1998);;Police Academy 6: City Under Siege (1989)
2133,"1042,2048,3436,1932,2483","That Thing You Do! (1996);;Great Mouse Detective, The (1986);;Dying Young (1991);;Great Ziegfeld, The (1936);;Day of the Beast, The (El Día de la bestia) (1995)",Adventures in Babysitting (1987),"That Thing You Do! (1996);;Great Mouse Detective, The (1986);;Dying Young (1991);;Great Ziegfeld, The (1936);;Day of the Beast, The (El Día de la bestia) (1995)"
2134,"1942,3258,3317,1189,2561","All the King's Men (1949);;Death Becomes Her (1992);;Wonder Boys (2000);;Thin Blue Line, The (1988);;True Crime (1999)",Weird Science (1985),"All the King's Men (1949);;Death Becomes Her (1992);;Wonder Boys (2000);;Thin Blue Line, The (1988);;True Crime (1999)"
2135,"1750,271,965,949,935","Star Kid (1997);;Losing Isaiah (1995);;39 Steps, The (1935);;East of Eden (1955);;Band Wagon, The (1953)",Doctor Dolittle (1967),"Star Kid (1997);;Losing Isaiah (1995);;39 Steps, The (1935);;East of Eden (1955);;Band Wagon, The (1953)"
2136,"937,939,1814,2,2183","Love in the Afternoon (1957);;Reluctant Debutante, The (1958);;Price Above Rubies, A (1998);;Jumanji (1995);;Man Who Knew Too Much, The (1956)","Nutty Professor, The (1963)","Love in the Afternoon (1957);;Reluctant Debutante, The (1958);;Price Above Rubies, A (1998);;Jumanji (1995);;Man Who Knew Too Much, The (1956)"
2137,"954,1883,2790,1888,1817","Mr. Smith Goes to Washington (1939);;Bulworth (1998);;Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981);;Hope Floats (1998);;No Looking Back (1998)",Charlotte's Web (1973),"Mr. Smith Goes to Washington (1939);;Bulworth (1998);;Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981);;Hope Floats (1998);;No Looking Back (1998)"
2138,"1937,1166,1935,632,1895",Going My Way (1944);;Farmer & Chase (1995);;How Green Was My Valley (1941);;Land and Freedom (Tierra y libertad) (1995);;Can't Hardly Wait (1998),Watership Down (1978),Going My Way (1944);;Farmer & Chase (1995);;How Green Was My Valley (1941);;Land and Freedom (Tierra y libertad) (1995);;Can't Hardly Wait (1998)
2139,"2790,946,954,953,1831","Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981);;To Be or Not to Be (1942);;Mr. Smith Goes to Washington (1939);;It's a Wonderful Life (1946);;Lost in Space (1998)","Secret of NIMH, The (1982)","Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981);;To Be or Not to Be (1942);;Mr. Smith Goes to Washington (1939);;It's a Wonderful Life (1946);;Lost in Space (1998)"
2140,"1766,1959,1991,1941,1903",Out of Africa (1985);;Child's Play (1988);;Hamlet (1948);;Hav Plenty (1997),"Dark Crystal, The (1982)",Out of Africa (1985);;Child's Play (1988);;Hamlet (1948);;Hav Plenty (1997)
2141,"946,1846,953,2790,596","To Be or Not to Be (1942);;Nil By Mouth (1997);;It's a Wonderful Life (1946);;Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981);;Pinocchio (1940)","American Tail, An (1986)","To Be or Not to Be (1942);;Nil By Mouth (1997);;It's a Wonderful Life (1946);;Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981);;Pinocchio (1940)"
2142,"233,1890,1921,607,332",Exotica (1994);;Little Boy Blue (1997);;Pi (1998);;Century (1993);;Village of the Damned (1995),"American Tail: Fievel Goes West, An (1991)",Exotica (1994);;Little Boy Blue (1997);;Pi (1998);;Century (1993);;Village of the Damned (1995)
2143,"1991,1766,1938,1959,3212","Child's Play (1988);;Lost Weekend, The (1945);;Out of Africa (1985);;Born to Win (1971)",Legend (1985),"Child's Play (1988);;Lost Weekend, The (1945);;Out of Africa (1985);;Born to Win (1971)"
2144,"1943,3259,1932,1149,1767","Greatest Show on Earth, The (1952);;Far and Away (1992);;Great Ziegfeld, The (1936);;JLG/JLG - autoportrait de décembre (1994);;Music From Another Room (1998)",Sixteen Candles (1984),"Greatest Show on Earth, The (1952);;Far and Away (1992);;Great Ziegfeld, The (1936);;JLG/JLG - autoportrait de décembre (1994);;Music From Another Room (1998)"
2145,"1942,1182,1944,1767,3513",All the King's Men (1949);;From Here to Eternity (1953);;Music From Another Room (1998);;Rules of Engagement (2000),Pretty in Pink (1986),All the King's Men (1949);;From Here to Eternity (1953);;Music From Another Room (1998);;Rules of Engagement (2000)
2146,"3513,2704,1943,2049,2028","Rules of Engagement (2000);;Lovers on the Bridge, The (Les Amants du Pont-Neuf) (1991);;Greatest Show on Earth, The (1952);;Happiest Millionaire, The (1967);;Saving Private Ryan (1998)",St. Elmo's Fire (1985),"Rules of Engagement (2000);;Lovers on the Bridge, The (Les Amants du Pont-Neuf) (1991);;Greatest Show on Earth, The (1952);;Happiest Millionaire, The (1967);;Saving Private Ryan (1998)"
2147,"2352,2158,1391,2303,1657","Big Chill, The (1983);;Henry: Portrait of a Serial Killer, Part 2 (1996);;Mars Attacks! (1996);;Nashville (1975);;Wonderland (1997)","Clan of the Cave Bear, The (1986)","Big Chill, The (1983);;Henry: Portrait of a Serial Killer, Part 2 (1996);;Mars Attacks! (1996);;Nashville (1975);;Wonderland (1997)"
2148,"2774,2553,2235,3432,2295","Better Than Chocolate (1999);;Village of the Damned (1960);;One Man's Hero (1999);;Death Wish 3 (1985);;Impostors, The (1998)",House (1986),"Better Than Chocolate (1999);;Village of the Damned (1960);;One Man's Hero (1999);;Death Wish 3 (1985);;Impostors, The (1998)"
2149,"1795,2425,1791,2296,1786","Callejón de los milagros, El (1995);;General, The (1998);;Twilight (1998);;Night at the Roxbury, A (1998)",House II: The Second Story (1987),"Callejón de los milagros, El (1995);;General, The (1998);;Twilight (1998);;Night at the Roxbury, A (1998)"
2150,"2247,3087,1033,1280,3653","Married to the Mob (1988);;Scrooged (1988);;Fox and the Hound, The (1981);;Raise the Red Lantern (1991);;Endless Summer, The (1966)","Gods Must Be Crazy, The (1980)","Married to the Mob (1988);;Scrooged (1988);;Fox and the Hound, The (1981);;Raise the Red Lantern (1991);;Endless Summer, The (1966)"
2151,"150,422,1605,1556,427",Apollo 13 (1995);;Blink (1994);;Excess Baggage (1997);;Speed 2: Cruise Control (1997);;Boxing Helena (1993),"Gods Must Be Crazy II, The (1989)",Apollo 13 (1995);;Blink (1994);;Excess Baggage (1997);;Speed 2: Cruise Control (1997);;Boxing Helena (1993)
2152,"1444,1840,559,1547,1544","Guantanamera (1994);;He Got Game (1998);;Paris, France (1993);;Shiloh (1997);;Lost World: Jurassic Park, The (1997)",Air Bud: Golden Receiver (1998),"Guantanamera (1994);;He Got Game (1998);;Paris, France (1993);;Shiloh (1997);;Lost World: Jurassic Park, The (1997)"
2153,"1419,305,486,155,1416",Walkabout (1971);;Ready to Wear (Pret-A-Porter) (1994);;Life with Mikey (1993);;Beyond Rangoon (1995);;Evita (1996),"Avengers, The (1998)",Walkabout (1971);;Ready to Wear (Pret-A-Porter) (1994);;Life with Mikey (1993);;Beyond Rangoon (1995);;Evita (1996)
2154,"2056,4,60,114,101","In Search of the Castaways (1962);;Waiting to Exhale (1995);;Indian in the Cupboard, The (1995);;Margaret's Museum (1995);;Bottle Rocket (1996)",How Stella Got Her Groove Back (1998),"In Search of the Castaways (1962);;Waiting to Exhale (1995);;Indian in the Cupboard, The (1995);;Margaret's Museum (1995);;Bottle Rocket (1996)"
2155,"546,1030,720,1029,312",Super Mario Bros. (1993);;Pete's Dragon (1977);;Wallace & Gromit: The Best of Aardman Animation (1996);;Dumbo (1941);;Stuart Saves His Family (1995),"Slums of Beverly Hills, The (1998)",Super Mario Bros. (1993);;Pete's Dragon (1977);;Wallace & Gromit: The Best of Aardman Animation (1996);;Dumbo (1941);;Stuart Saves His Family (1995)
2156,"1342,1686,1521,905,2812",Candyman (1992);;Red Corner (1997);;It Happened One Night (1934);;In Too Deep (1999),"Best Man, The (Il Testimone dello sposo) (1997)",Candyman (1992);;Red Corner (1997);;It Happened One Night (1934);;In Too Deep (1999)
2157,"2077,3161,3254,544,1085","Journey of Natty Gann, The (1985);;Onegin (1999);;Wayne's World 2 (1993);;Striking Distance (1993);;Old Man and the Sea, The (1958)","Chambermaid on the Titanic, The (1998)","Journey of Natty Gann, The (1985);;Onegin (1999);;Wayne's World 2 (1993);;Striking Distance (1993);;Old Man and the Sea, The (1958)"
2158,"3485,2983,1064,3205,3593","Autopsy (Macchie Solari) (1975);;Ipcress File, The (1965);;Aladdin and the King of Thieves (1996);;Black Sunday (La Maschera Del Demonio) (1960);;Battlefield Earth (2000)","Henry: Portrait of a Serial Killer, Part 2 (1996)","Autopsy (Macchie Solari) (1975);;Ipcress File, The (1965);;Aladdin and the King of Thieves (1996);;Black Sunday (La Maschera Del Demonio) (1960);;Battlefield Earth (2000)"
2159,"1200,2272,1689,2830,147","Aliens (1986);;One True Thing (1998);;Man Who Knew Too Little, The (1997);;Cabaret Balkan (Bure Baruta) (1998);;Basketball Diaries, The (1995)",Henry: Portrait of a Serial Killer (1990),"Aliens (1986);;One True Thing (1998);;Man Who Knew Too Little, The (1997);;Cabaret Balkan (Bure Baruta) (1998);;Basketball Diaries, The (1995)"
2160,"1231,2239,1220,1796,1113","Right Stuff, The (1983);;Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975);;Blues Brothers, The (1980);;In God's Hands (1998);;Associate, The (1996)",Rosemary's Baby (1968),"Right Stuff, The (1983);;Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975);;Blues Brothers, The (1980);;In God's Hands (1998);;Associate, The (1996)"
2161,"1766,1804,1938,1991,1941","Newton Boys, The (1998);;Lost Weekend, The (1945);;Child's Play (1988);;Hamlet (1948)","NeverEnding Story, The (1984)","Newton Boys, The (1998);;Lost Weekend, The (1945);;Child's Play (1988);;Hamlet (1948)"
2162,"122,1578,1388,1544,1547","Boomerang (1992);;Innocent Sleep, The (1995);;Jaws 2 (1978);;Lost World: Jurassic Park, The (1997);;Shiloh (1997)","NeverEnding Story II: The Next Chapter, The (1990)","Boomerang (1992);;Innocent Sleep, The (1995);;Jaws 2 (1978);;Lost World: Jurassic Park, The (1997);;Shiloh (1997)"
2163,"3221,2520,2125,1537,1956","Draughtsman's Contract, The (1982);;Airport (1970);;Ever After: A Cinderella Story (1998);;Shall We Dance? (Shall We Dansu?) (1996);;Ordinary People (1980)",Attack of the Killer Tomatoes! (1980),"Draughtsman's Contract, The (1982);;Airport (1970);;Ever After: A Cinderella Story (1998);;Shall We Dance? (Shall We Dansu?) (1996);;Ordinary People (1980)"
2164,"2051,3178,1023,1998,3554","Herbie Goes to Monte Carlo (1977);;Hurricane, The (1999);;Winnie the Pooh and the Blustery Day (1968);;Exorcist II: The Heretic (1977);;Love and Basketball (2000)",Surf Nazis Must Die (1987),"Herbie Goes to Monte Carlo (1977);;Hurricane, The (1999);;Winnie the Pooh and the Blustery Day (1968);;Exorcist II: The Heretic (1977);;Love and Basketball (2000)"
2165,"2614,90,981,101,295","Chopping Mall (a.k.a. Killbots) (1986);;Journey of August King, The (1995);;Dangerous Ground (1997);;Bottle Rocket (1996);;Pyromaniac's Love Story, A (1995)",Your Friends and Neighbors (1998),"Chopping Mall (a.k.a. Killbots) (1986);;Journey of August King, The (1995);;Dangerous Ground (1997);;Bottle Rocket (1996);;Pyromaniac's Love Story, A (1995)"
2166,"2057,2614,110,2018,54","Incredible Journey, The (1963);;Chopping Mall (a.k.a. Killbots) (1986);;Braveheart (1995);;Bambi (1942);;Big Green, The (1995)",Return to Paradise (1998),"Incredible Journey, The (1963);;Chopping Mall (a.k.a. Killbots) (1986);;Braveheart (1995);;Bambi (1942);;Big Green, The (1995)"
2167,"1589,69,342,158,1109",Cop Land (1997);;Friday (1995);;Muriel's Wedding (1994);;Casper (1995);;Charm's Incidents (1996),Blade (1998),Cop Land (1997);;Friday (1995);;Muriel's Wedding (1994);;Casper (1995);;Charm's Incidents (1996)
2168,"286,482,1357,1497,1523","Nemesis 2: Nebula (1995);;Killing Zoe (1994);;Shine (1996);;Double Team (1997);;Truth or Consequences, N.M. (1997)",Dance with Me (1998),"Nemesis 2: Nebula (1995);;Killing Zoe (1994);;Shine (1996);;Double Team (1997);;Truth or Consequences, N.M. (1997)"
2169,"87,64,1346,270,397","Dunston Checks In (1996);;Two if by Sea (1996);;Cat People (1982);;Love Affair (1994);;Fear, The (1995)",Dead Man on Campus (1998),"Dunston Checks In (1996);;Two if by Sea (1996);;Cat People (1982);;Love Affair (1994);;Fear, The (1995)"
2170,"699,1826,2958,457,429","To Cross the Rubicon (1991);;Barney's Great Adventure (1998);;Naturally Native (1998);;Fugitive, The (1993);;Cabin Boy (1994)",Wrongfully Accused (1998),"To Cross the Rubicon (1991);;Barney's Great Adventure (1998);;Naturally Native (1998);;Fugitive, The (1993);;Cabin Boy (1994)"
2171,"748,119,3574,1485,401","Arrival, The (1996);;Steal Big, Steal Little (1995);;Carnosaur 3: Primal Species (1996);;Liar Liar (1997);;Mirage (1995)","Next Stop, Wonderland (1998)","Arrival, The (1996);;Steal Big, Steal Little (1995);;Carnosaur 3: Primal Species (1996);;Liar Liar (1997);;Mirage (1995)"
2172,"255,2216,2918,909,256","Jerky Boys, The (1994);;Skin Game, The (1931);;Ferris Bueller's Day Off (1986);;Apartment, The (1960);;Junior (1994)","Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)","Jerky Boys, The (1994);;Skin Game, The (1931);;Ferris Bueller's Day Off (1986);;Apartment, The (1960);;Junior (1994)"
2173,"2727,3346,783,2092,2853","Killer's Kiss (1955);;Color Me Blood Red (1965);;Hunchback of Notre Dame, The (1996);;Return of Jafar, The (1993);;Communion (a.k.a. Alice, Sweet Alice/Holy Terror) (1977)","Navigator: A Mediaeval Odyssey, The (1988)","Killer's Kiss (1955);;Color Me Blood Red (1965);;Hunchback of Notre Dame, The (1996);;Return of Jafar, The (1993);;Communion (a.k.a. Alice, Sweet Alice/Holy Terror) (1977)"
2174,"2563,1959,1991,655,651","Beauty (1998);;Out of Africa (1985);;Child's Play (1988);;Mutters Courage (1995);;Superweib, Das (1996)",Beetlejuice (1988),"Beauty (1998);;Out of Africa (1985);;Child's Play (1988);;Mutters Courage (1995);;Superweib, Das (1996)"
2175,"2880,3225,514,2977,3077","Operation Condor 2 (Longxiong hudi) (1990);;Down to You (2000);;Ref, The (1994);;Crazy in Alabama (1999);;42 Up (1998)",Déjà Vu (1997),"Operation Condor 2 (Longxiong hudi) (1990);;Down to You (2000);;Ref, The (1994);;Crazy in Alabama (1999);;42 Up (1998)"
2176,"1981,999,2009,2001,831",Friday the 13th Part VIII: Jason Takes Manhattan (1989);;2 Days in the Valley (1996);;Soylent Green (1973);;Lethal Weapon 2 (1989);;Stonewall (1995),Rope (1948),Friday the 13th Part VIII: Jason Takes Manhattan (1989);;2 Days in the Valley (1996);;Soylent Green (1973);;Lethal Weapon 2 (1989);;Stonewall (1995)
2177,"904,551,133,635,3223","Rear Window (1954);;Nightmare Before Christmas, The (1993);;Nueba Yol (1995);;Family Thing, A (1996);;Zed & Two Noughts, A (1985)",Family Plot (1976),"Rear Window (1954);;Nightmare Before Christmas, The (1993);;Nueba Yol (1995);;Family Thing, A (1996);;Zed & Two Noughts, A (1985)"
2178,"2001,1999,526,2003,1981","Lethal Weapon 2 (1989);;Exorcist III, The (1990);;Savage Nights (Nuits fauves, Les) (1992);;Gremlins (1984);;Friday the 13th Part VIII: Jason Takes Manhattan (1989)",Frenzy (1972),"Lethal Weapon 2 (1989);;Exorcist III, The (1990);;Savage Nights (Nuits fauves, Les) (1992);;Gremlins (1984);;Friday the 13th Part VIII: Jason Takes Manhattan (1989)"
2179,"2613,3034,716,1978,1624","Night of the Comet (1984);;Robin Hood (1973);;Switchblade Sisters (1975);;Friday the 13th Part V: A New Beginning (1985);;Thousand Acres, A (1997)",Topaz (1969),"Night of the Comet (1984);;Robin Hood (1973);;Switchblade Sisters (1975);;Friday the 13th Part V: A New Beginning (1985);;Thousand Acres, A (1997)"
2180,"2659,1979,3162,3079,1977",It Came from Hollywood (1982);;Friday the 13th Part VI: Jason Lives (1986);;Simpatico (1999);;Mansfield Park (1999);;Friday the 13th: The Final Chapter (1984),Torn Curtain (1966),It Came from Hollywood (1982);;Friday the 13th Part VI: Jason Lives (1986);;Simpatico (1999);;Mansfield Park (1999);;Friday the 13th: The Final Chapter (1984)
2181,"1978,2009,1981,2659,2003",Friday the 13th Part V: A New Beginning (1985);;Soylent Green (1973);;Friday the 13th Part VIII: Jason Takes Manhattan (1989);;It Came from Hollywood (1982);;Gremlins (1984),Marnie (1964),Friday the 13th Part V: A New Beginning (1985);;Soylent Green (1973);;Friday the 13th Part VIII: Jason Takes Manhattan (1989);;It Came from Hollywood (1982);;Gremlins (1984)
2182,"2007,2000,856,2001,900","Polish Wedding (1998);;Lethal Weapon (1987);;Mille bolle blu (1993);;Lethal Weapon 2 (1989);;American in Paris, An (1951)","Wrong Man, The (1956)","Polish Wedding (1998);;Lethal Weapon (1987);;Mille bolle blu (1993);;Lethal Weapon 2 (1989);;American in Paris, An (1951)"
2183,"2009,999,1974,1982,856",Soylent Green (1973);;2 Days in the Valley (1996);;Friday the 13th (1980);;Halloween (1978);;Mille bolle blu (1993),"Man Who Knew Too Much, The (1956)",Soylent Green (1973);;2 Days in the Valley (1996);;Friday the 13th (1980);;Halloween (1978);;Mille bolle blu (1993)
2184,"2009,2001,2003,1981,890",Soylent Green (1973);;Lethal Weapon 2 (1989);;Gremlins (1984);;Friday the 13th Part VIII: Jason Takes Manhattan (1989);;Baton Rouge (1988),"Trouble with Harry, The (1955)",Soylent Green (1973);;Lethal Weapon 2 (1989);;Gremlins (1984);;Friday the 13th Part VIII: Jason Takes Manhattan (1989);;Baton Rouge (1988)
2185,"2001,1982,2009,2007,1985",Lethal Weapon 2 (1989);;Halloween (1978);;Soylent Green (1973);;Polish Wedding (1998);;Halloween 4: The Return of Michael Myers (1988),I Confess (1953),Lethal Weapon 2 (1989);;Halloween (1978);;Soylent Green (1973);;Polish Wedding (1998);;Halloween 4: The Return of Michael Myers (1988)
2186,"2000,855,3170,2003,1140",Lethal Weapon (1987);;Every Other Weekend (1990);;Hi-Yo Silver (1940);;Gremlins (1984);;Entertaining Angels: The Dorothy Day Story (1996),Strangers on a Train (1951),Lethal Weapon (1987);;Every Other Weekend (1990);;Hi-Yo Silver (1940);;Gremlins (1984);;Entertaining Angels: The Dorothy Day Story (1996)
2187,"1983,2009,1982,2011,1979",Halloween II (1981);;Soylent Green (1973);;Halloween (1978);;Back to the Future Part II (1989);;Friday the 13th Part VI: Jason Lives (1986),Stage Fright (1950),Halloween II (1981);;Soylent Green (1973);;Halloween (1978);;Back to the Future Part II (1989);;Friday the 13th Part VI: Jason Lives (1986)
